num,scenario,kt,vbus,ktInception,vbusInception,ktDuration,vbusDuration,ktSeverity,vbusSeverity
586,0,0,0,0,0,0,0,0.029,6
587,0,0,0,0,0,0,0,0.029,6
588,0,0,0,0,0,0,0,0.029,6
589,0,0,0,0,0,0,0,0.029,6
590,0,0,0,0,0,0,0,0.029,6
591,0,0,0,0,0,0,0,0.029,6
592,0,0,0,0,0,0,0,0.029,6
593,0,0,0,0,0,0,0,0.029,6
594,0,0,0,0,0,0,0,0.029,6
595,0,0,0,0,0,0,0,0.029,6
596,0,0,0,0,0,0,0,0.029,6
597,0,0,0,0,0,0,0,0.029,6
598,0,0,0,0,0,0,0,0.029,6
599,0,0,0,0,0,0,0,0.029,6
600,0,0,0,0,0,0,0,0.029,6
601,0,0,0,0,0,0,0,0.029,6
602,0,0,0,0,0,0,0,0.029,6
603,0,0,0,0,0,0,0,0.029,6
604,0,0,0,0,0,0,0,0.029,6
605,0,0,0,0,0,0,0,0.029,6
606,0,0,0,0,0,0,0,0.029,6
607,0,0,0,0,0,0,0,0.029,6
608,0,0,0,0,0,0,0,0.029,6
609,0,0,0,0,0,0,0,0.029,6
610,0,0,0,0,0,0,0,0.029,6
611,0,0,0,0,0,0,0,0.029,6
612,0,0,0,0,0,0,0,0.029,6
613,0,0,0,0,0,0,0,0.029,6
614,0,0,0,0,0,0,0,0.029,6
615,0,0,0,0,0,0,0,0.029,6
616,0,0,0,0,0,0,0,0.029,6
617,0,0,0,0,0,0,0,0.029,6
618,0,0,0,0,0,0,0,0.029,6
619,0,0,0,0,0,0,0,0.029,6
620,0,0,0,0,0,0,0,0.029,6
621,0,0,0,0,0,0,0,0.029,6
622,0,0,0,0,0,0,0,0.029,6
623,0,0,0,0,0,0,0,0.029,6
624,0,0,0,0,0,0,0,0.029,6
625,1,1,1,24,24,14,14,0.03,7.75
